DateTime,Open,High,Low,Close,Volume,close_time,quote_volue,trades,taker_base_volue,taker_quote_volume,ignore
2025-07-09 01:57:00,109009.8,109027.8,108938.0,108951.9,53.619,1751997599999,5843356.1770,841,21.522,2345270.3392,0
2025-07-09 02:00:00,108951.9,108983.1,108924.0,108926.0,35.183,1751997779999,3833322.5473,509,10.512,1145330.9915,0
2025-07-09 02:03:00,108928.0,108958.0,108864.8,108943.9,35.999,1751997959999,3921104.9632,695,14.795,1611583.1011,0
2025-07-09 02:06:00,108943.9,109020.0,108895.8,108969.9,42.302,1751998139999,4609588.4402,719,20.298,2211674.3363,0
2025-07-09 02:09:00,108970.0,109070.0,108970.0,109027.8,46.728,1751998319999,5094588.4483,724,29.798,3248676.3203,0
2025-07-09 02:12:00,109026.1,109078.0,109016.1,109076.0,40.814,1751998499999,4450658.5644,541,22.923,2499698.6934,0
2025-07-09 02:15:00,109078.0,109090.0,109023.9,109060.0,38.622,1751998679999,4212000.7229,605,15.141,1651181.9456,0
2025-07-09 02:18:00,109062.0,109080.4,109032.0,109063.8,36.284,1751998859999,3957099.8618,513,10.758,1173190.4209,0
2025-07-09 02:21:00,109063.8,109063.8,108993.6,109034.0,48.203,1751999039999,5255349.6202,600,14.332,1562553.5613,0
2025-07-09 02:24:00,109034.0,109052.6,108928.5,108928.5,39.707,1751999219999,4327616.6846,627,11.574,1261470.8006,0
2025-07-09 02:27:00,108928.0,109025.6,108906.0,109025.6,48.471,1751999399999,5282133.7679,648,27.301,2974980.9541,0
2025-07-09 02:30:00,109026.0,109079.9,108951.3,108956.0,55.987,1751999579999,6102896.7266,910,22.942,2500784.3920,0
2025-07-09 02:33:00,108958.0,109055.9,108956.0,109055.8,42.468,1751999759999,4628764.6539,565,25.728,2804218.9620,0
2025-07-09 02:36:00,109055.8,109055.8,108913.1,108980.6,37.188,1751999939999,4052727.7598,653,13.337,1453316.6704,0
2025-07-09 02:39:00,108981.9,109006.7,108918.7,108925.9,31.748,1752000119999,3459362.9831,504,16.780,1828366.2747,0
2025-07-09 02:42:00,108925.9,109006.6,108925.9,108984.0,36.366,1752000299999,3963026.2243,507,23.327,2542016.5071,0
2025-07-09 02:45:00,108984.0,108992.0,108958.5,108973.9,14.558,1752000479999,1586421.4311,229,5.595,609691.9532,0
2025-07-09 02:48:00,108973.8,108978.0,108924.0,108977.9,33.569,1752000659999,3657226.2718,448,18.183,1980948.9045,0
2025-07-09 02:51:00,108977.9,109018.0,108968.0,109018.0,23.098,1752000839999,2517560.4071,346,15.044,1639726.2071,0
2025-07-09 02:54:00,109018.0,109115.0,109018.0,109108.0,50.872,1752001019999,5548944.0495,834,33.502,3654349.1520,0
2025-07-09 02:57:00,109108.1,109127.8,109094.0,109125.9,33.919,1752001199999,3701119.5846,443,13.533,1476573.3409,0
2025-07-09 03:00:00,109125.9,109125.9,109068.4,109068.4,53.691,1752001379999,5857943.5662,478,15.807,1724560.8000,0
2025-07-09 03:03:00,109068.5,109082.0,109016.7,109016.7,18.300,1752001559999,1995665.3906,394,7.746,844734.0735,0
2025-07-09 03:06:00,109015.2,109049.9,108958.5,108973.3,13.532,1752001739999,1474913.8253,418,5.686,619712.9925,0
2025-07-09 03:09:00,108966.8,108966.8,108924.3,108943.9,32.530,1752001919999,3543705.1261,471,24.148,2630570.2628,0
2025-07-09 03:12:00,108942.1,108973.9,108928.9,108932.0,14.510,1752002099999,1580896.2735,254,6.393,696505.6519,0
2025-07-09 03:15:00,108931.9,109025.0,108931.9,108986.1,19.902,1752002279999,2168964.7830,443,13.525,1473966.2103,0
2025-07-09 03:18:00,108986.0,109021.3,108972.1,108999.0,15.275,1752002459999,1664958.8154,260,11.998,1307745.8480,0
2025-07-09 03:21:00,108999.0,109000.0,108962.0,108995.6,17.501,1752002639999,1907125.1304,267,10.647,1160200.3025,0
2025-07-09 03:24:00,108995.1,108995.1,108936.0,108966.0,16.340,1752002819999,1780323.8397,251,8.490,924936.6311,0
2025-07-09 03:27:00,108966.0,108966.0,108912.5,108912.5,14.492,1752002999999,1578649.7539,270,6.875,748895.8182,0
2025-07-09 03:30:00,108912.2,108931.9,108828.4,108828.6,47.070,1752003179999,5124101.5236,748,18.425,2005712.0560,0
2025-07-09 03:33:00,108830.0,108844.0,108769.2,108770.0,47.209,1752003359999,5136521.6692,722,23.833,2593164.2927,0
2025-07-09 03:36:00,108770.0,108813.2,108736.8,108772.0,31.618,1752003539999,3439414.1220,640,16.675,1813888.6309,0
2025-07-09 03:39:00,108770.5,108770.5,108725.0,108757.0,30.885,1752003719999,3358639.9003,372,18.035,1961174.0407,0
