DateTime,Open,High,Low,Close,Volume,close_time,quote_volue,trades,taker_base_volue,taker_quote_volume,ignore
2025-06-19 12:54:00,104991.9,105052.4,104991.9,105017.5,16.350,1750309019999,1717119.5536,481,11.409,1198154.7206,0
2025-06-19 12:57:00,105017.5,105054.0,105017.5,105054.0,15.263,1750309199999,1603188.4951,250,7.392,776420.0108,0
2025-06-19 13:00:00,105054.0,105054.0,105003.4,105005.9,19.277,1750309379999,2024525.1979,365,2.660,279345.6987,0
2025-06-19 13:03:00,105005.9,105136.1,104992.8,105130.1,41.576,1750309559999,4368196.3823,826,35.203,3698637.4099,0
2025-06-19 13:06:00,105130.0,105199.9,105105.4,105141.9,56.256,1750309739999,5916069.5052,1187,25.011,2630206.1585,0
2025-06-19 13:09:00,105142.0,105142.0,105057.1,105122.0,14.423,1750309919999,1515832.5439,538,5.779,607321.5102,0
2025-06-19 13:12:00,105121.9,105121.9,105014.9,105028.0,10.918,1750310099999,1146929.7341,388,3.726,391336.2507,0
2025-06-19 13:15:00,105028.0,105028.0,104943.2,104957.9,26.312,1750310279999,2762119.2112,648,4.898,514113.2982,0
2025-06-19 13:18:00,104958.0,105119.6,104958.0,105092.2,19.559,1750310459999,2054911.1326,631,14.059,1476899.3580,0
2025-06-19 13:21:00,105092.2,105125.0,105072.4,105087.9,10.980,1750310639999,1153997.0627,368,4.452,467877.8402,0
2025-06-19 13:24:00,105086.1,105109.9,105078.0,105078.0,11.731,1750310819999,1232847.4398,312,4.624,485946.3246,0
2025-06-19 13:27:00,105078.0,105081.9,105023.7,105029.7,11.612,1750310999999,1219884.3742,381,3.395,356669.3892,0
2025-06-19 13:30:00,105029.8,105037.6,104993.6,105020.1,9.098,1750311179999,955420.6391,328,3.544,372150.6625,0
2025-06-19 13:33:00,105020.1,105054.0,105012.0,105012.0,16.961,1750311359999,1781452.9065,480,9.263,972931.3114,0
2025-06-19 13:36:00,105012.1,105041.4,104950.5,104965.9,14.312,1750311539999,1502773.3839,585,5.159,541762.1732,0
2025-06-19 13:39:00,104966.0,105000.1,104936.8,104936.8,26.700,1750311719999,2802678.7950,453,9.076,952749.2589,0
2025-06-19 13:42:00,104936.9,104977.9,104936.8,104977.9,11.724,1750311899999,1230414.4537,220,9.227,968354.5445,0
2025-06-19 13:45:00,104977.9,104977.9,104961.1,104961.1,2.218,1750312079999,232824.8937,80,0.200,20992.9343,0
2025-06-19 13:48:00,104961.2,104961.2,104919.0,104946.6,8.619,1750312259999,904477.3747,256,2.942,308733.3386,0
2025-06-19 13:51:00,104946.5,104955.0,104914.2,104914.2,15.712,1750312439999,1648799.9802,342,2.609,273793.6097,0
2025-06-19 13:54:00,104914.2,104947.8,104904.7,104928.2,11.720,1750312619999,1229690.9240,254,6.584,690791.4197,0
2025-06-19 13:57:00,104928.2,104934.0,104800.5,104866.5,34.499,1750312799999,3617266.2169,985,11.638,1220057.3859,0
2025-06-19 14:00:00,104866.4,104926.4,104850.2,104894.0,20.079,1750312979999,2106036.8437,543,10.153,1064872.0616,0
2025-06-19 14:03:00,104893.5,104953.1,104893.5,104950.0,14.374,1750313159999,1508381.4409,410,6.129,643163.9043,0
2025-06-19 14:06:00,104951.3,104960.6,104843.7,104850.0,50.140,1750313339999,5260179.4134,738,29.704,3116624.3692,0
2025-06-19 14:09:00,104849.6,104862.0,104722.4,104753.8,39.345,1750313519999,4122340.4143,970,6.274,657265.4866,0
2025-06-19 14:12:00,104753.8,104791.6,104705.1,104722.6,31.617,1750313699999,3311801.3617,739,9.689,1014817.5473,0
2025-06-19 14:15:00,104722.5,104733.7,104688.0,104688.0,18.033,1750313879999,1888305.8177,473,9.305,974373.6166,0
2025-06-19 14:18:00,104688.1,104696.0,104651.8,104691.1,24.453,1750314059999,2559633.8123,583,14.623,1530680.8800,0
2025-06-19 14:21:00,104691.0,104692.0,104650.0,104650.1,16.753,1750314239999,1753593.9329,382,6.104,638889.5942,0
2025-06-19 14:24:00,104650.1,104672.1,104634.5,104634.6,20.868,1750314419999,2183845.9625,385,8.917,933136.4497,0
2025-06-19 14:27:00,104634.5,104634.5,104596.0,104610.0,32.618,1750314599999,3412088.0037,646,5.547,580284.1735,0
2025-06-19 14:30:00,104610.1,104691.9,104608.4,104673.9,29.015,1750314779999,3036317.4255,564,16.774,1755190.9277,0
2025-06-19 14:33:00,104673.9,104723.8,104663.8,104709.4,23.770,1750314959999,2488500.7609,550,9.616,1006694.7357,0
2025-06-19 14:36:00,104709.4,104714.3,104689.0,104700.1,13.561,1750315139999,1419897.7204,277,4.716,493763.2308,0
